140101011243,UHE1A101MDD1TD,,NM
140101020003,UHD1A102MPD1CV,,JP
140101020303,UHD1A102MPD6CV,,JP
140101020403,UHD1A102MPD6TD,,JP,JP
140101020433,UHV1A102MPD1TD,,JP
140102220003,UHD1A222MHD1CV,,JP
140103310033,UHV1A331MED1CV,,NM,NM
140104710003,UHD1A471MPD1CV,,JP
140108201003,UPW1A820MDD6CV,,JP
140121020003,UHD1C102MPD1CV,,JP
140141020003,UHD1E102MHD1CV,,JP
140141510233,UHV1E151MED1TD,,NM
140143310003,UHD1E331MPD1CV,,JP
140143901303,UPW1E390MDD6CV,,JP
140144700003,UHD1E470MDD1CV,,NM
140144700603,UHC1E470MDD1CV,,JP
140144711003,UPW1E471MPD1CV,,JP
140144711303,UPW1E471MPD6CV,,JP
140146810303,UHD1E681MPD1CV,,JP
141151010003,UHD1V101MEDAZH,,NM
140151022353,UPJ1V102MHD6CV,,JP
140151510003,UHD1V151MPD1CV,,JP
140152210003,UHD1V221MPD1CV,,JP
140153311043,UHE1V331MPD1CV,,JP
140156811303,UPW1V681MHD1CV,,JP
140161811003,UPW1H181MPD1CV,,JP
140164701003,UPW1H470MED1CV,,NM,NM
140204711003,UPW1J471MHD1CV,,JP
140223311003,UPW2A331MHD1CV,,JP
141101020033,UHD1A102MPD3,,JP
141151220003,UHD1V122MHD6,,JP
144101029103,UBT1A102MPD1TD,,JP
144102219103,UBT1A221MPD1TA,,JP
144103329003,UBT1A332MHD1CV,,NUX
144104729003,UBT1A472MHD1CV,,JP
144141019203,UBT1E101MPD1CV,,JP
144143303633,UMV1E330MFD1CV,,JP
144151019203,UBT1V101MPD1CV,,JP
144152203333,USV1V220MFD1CV,,JP
144152219103,UBT1V221MPD1TD,,JP
144154719103,UBT1V471MPDAZWTD,,JP
144155619103,UBT1V561MPDADTTD,,JP
144161019103,UBT1H101MPD1TD,,JP
144164709103,UBT1H470MPD1TA,,JP,JP
144223319003,UBT2A331MHD1CV,,JP
144403309003,UBT2G330MHD1CV,,NUX
145153319003,UBT1V331MPD,,JP
145221019003,UBT2A101MHD,,JP
145401002103,UVZ2G100MPD3,,JP
145401010433,UPT2G101MHDBDT,,JP
145401510233,UPT2G151MHD3,,JP,JP
145423300143,UPZ2W330MHD,,NUX
146401021003,LLQ2G102MESFTY,,JP
146401525103,LNQ2G152MSEBZT,,JP
146402226043,LNC2G222MSEFBN,,JP
146402526003,LNX2G252MSEGZH,,JP
146402726133,LNK2G272MSEGBN,,JP
146403326103,LNX2G332MSEBTY,,JP
146403926133,LNK2G392MSEBDT,,JP
146403926143,LNC2G392MSEGBN,,NUX
146404726133,LNK2G472MSECDT,,JP
146404726203,LNX2G472MSEKTY,,JP
146404726703,LNX2G472MSEADT,,NUX
146405326133,LNK2G532MSEADT,,JP
146405626243,LNC2G562MSEHBN,,JP
146408226243,LNC2G822MSEHBN,,JP
146423926143,LNC2W392MSEGBN,,JP
146426826143,LNC2W682MTEADT,,JP
146426826243,LNC2W682MTEH,,JP
146426826243,LNC2W682MTEH,,JP
146434426203,LNX2H442MSECTY,,NUX
147301220633,LGU2D122MELB,,JP
147301520653,LGN2D152MELB40,,JP
147301520833,LGU2D152MELC,,JP
147301820653,LGN2D182MELB50,,JP
147303721033,LGU2D372MESETY,,JP
147304710200,LGU2D471MELZ,,JP
147304712903,LDQ2D471MERYHA,,JP
147306810253,LGN2D681MELZ40,,JP
147308210200,LGU2D821MELETY,,JP,JP
147308210600,LGU2D821MELB,,JP,JP
147401010253,LGN2G101MELZ25,,JP
147401020853,LGN2G102MELEZH,,NUX
147401020883,LGG2G102MELFDT,,JP
147401021033,LGU2G102KESETY,,JP
147401021233,LGU2G102KELEDT,,JP
147401221033,LGU2G122MESETY,,JP
147401221233,LGU2G122MELEDT,,JP
147401421233,LGU2G142MEFEDT,,JP
147401510633,LGU2G151MELB,,JP,JP
147401810233,LGU2G181MELETY,,JP
147401810633,LGU2G181MELFTY,,JP,JP
147401813003,LDQ2G181MERAGA,,NUX
147402210433,LGU2G221MELA,,JP,JP
147402710233,LGU2G271MELETY,,JP
147402710453,LGN2G271MELA40,,JP
147402710633,LGU2G271MELB,,JP,JP
147402710683,LGG2G271MELB25,,JP
147402710833,LGU2G271MELC,,JP
147402712033,LGX2G271MELZ50,,JP
147403310233,LGU2G331MELETY,,JP
147403910653,LGN2G391MELB40,,JP
147403910853,LGN2G391MELC30,,JP
147404710643,LGW2G471MELB50,,NUX
147404710653,LGN2G471MELB45,,JP
147404710833,LGU2G471MELC,,JP
147405610653,LGN2G561MELB50,,JP
147405610853,LGN2G561MELC40,,JP
147405610953,LGN2G561MELEDT,,JP
147406810943,LGW2G681MELC50ZB,,NUX
147406811033,LGU2G681MESGTY,,JP
147408210843,LGW2G821MELEDT,,JP
147408210883,LGG2G821MELC45,,JP
147408211033,LGU2G821MESETY,,JP
147408211043,LGK2G821MEHC,,JP
147408210943,LGW2G821MELFDT,,JP
147421210533,LGU2W121MELETY,,JP
147421510453,LGN2W151MELA30,,JP
147421810653,LGN2W181MELETY,,JP
147431010653,LGN2H101MELB25,,JP
147431510453,LGN2H151MELA45,,JP
147431510633,LGU2H151MELFTY,,JP
147432210653,LGN2H221MELB45,,JP
147432710653,LGN2H271MELB50,,JP
147433310853,LGN2H331MELC45,,JP
147433910853,LGN2H391MELC50,,JP
147435611033,LGU2H561MESETY,,JP
148102211403,UWX1A221MCL1GB,,NUX
148121011303,UWX1C101MCL1GB,,JP
149021017243,UUL0J101MCL1GS,,NUX
149101017243,UUL1A101MCL1GS,,NUX
149121010203,UUD1C101MCL1GS,,JP
149121010293,UCW1C101MCL1GS,,JP
149121011333,UWT1C101MCL1GB,,JP
149122210203,UUD1C221MCL1GS,,JP
149141010203,UUD1E101MCL1GS,,JP
149141010293,UCW1E101MCL1GS,,JP
149142211433,UWT1E221MNL1GS,,JP
149143300203,UUD1E330MCL1GS,,NUX
149143301333,UWT1E330MCL1GB,,JP
149143307243,UUL1E330MCL1GS,,JP
149146800203,UUD1E680MCL1GS,,JP
149151010243,UCD1V101MCL6GS,,JP
149151011333,UWT1V101MCL1GS,,JP
149152201303,UUT1V220MCL1GS,,JP
149152207243,UUL1V220MCL1GS,,NUX
149152209333,UCJ1V220MCL1GS,,JP
149152210303,UUD1V221MNL1GS,,JP
149154700203,UUD1V470MCL1GS,,JP
149164707333,UUA1H470MNLASEGS,,NM
